stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
09408,,Tiborszallas,,47.815315247,22.402860641,,,0,,,0
09410,,Nyirabrany,,47.523868561,22.01612854,,,0,,,0
09422,,Biharkeresztes,,47.135643005,21.721944809,,,0,,,0
09446,,Kotegyan,,46.758621216,21.47895813,,,0,,,0
09461,,Lokoshaza,,46.432193756,21.238042831,,,0,,,0
09711,,Ruse,,43.857120514,25.976743698,,,0,,,0
10017,,Bucureşti Nord Gr.A,,44.446651459,26.073465347,,,0,,,0
10079,,Bucureşti Basarab h.,,44.458751678,26.055381775,,,0,,,0
10081,,Carpaţi h.(900),,44.468196869,26.040908813,,,0,,,0
10108,,Bucureştii Noi,,44.475528717,26.014966965,,,0,,,0
10146,,Chiajna,,44.47045517,25.980682373,,,0,,,0
10172,,Domneştii de Sus h.,,44.406097412,25.892391205,,,0,,,0
10201,,Grădinari,,44.381595612,25.825094223,,,0,,,0
10225,,Zorile h.,,44.360107422,25.762151718,,,0,,,0
10249,,Vadu Lat Hm.,,44.342739105,25.702543259,,,0,,,0
10251,,Angheleşti h.,,44.323020935,25.646402359,,,0,,,0
10263,,Zăvestreni Hm.,,44.302837372,25.592477798,,,0,,,0
10287,,Videle,,44.284168243,25.537261963,,,0,,,0
10328,,Ciolpani Hm.,,44.243743896,25.460094452,,,0,,,0
10342,,Gălăteni Hm.,,44.210693359,25.370882034,,,0,,,0
10366,,Olteni,,44.190467834,25.292291641,,,0,,,0
10380,,Vârtoapele hc.,,44.17408371,25.233375549,,,0,,,0
10407,,Rădoieşti Hm.,,44.1536026,25.160068512,,,0,,,0
10421,,Atârnaţi Hm.,,44.136249542,25.062736511,,,0,,,0
10445,,Roşiori Nord,,44.123809814,24.979366302,,,0,,,0
10469,,Măldăeni Hm.,,44.113563538,24.884260178,,,0,,,0
10483,,Mihăeşti Hm.,,44.119483948,24.77236557,,,0,,,0
10500,,Radomireşti Hm.,,44.111160278,24.670484543,,,0,,,0
10524,,Dăneasa h.,,44.13344574,24.575302124,,,0,,,0
10536,,Drăgăneşti Olt,,44.154628754,24.544698715,,,0,,,0
10548,,Stoeneşti h.,,44.120700836,24.494466782,,,0,,,0
10550,,Fărcaşele Hm.,,44.121826172,24.451892853,,,0,,,0
10574,,Caracal,,44.119415283,24.364976883,,,0,,,0
10598,,Cezieni h.,,44.152877808,24.314674377,,,0,,,0
10615,,Grozăveşti Hm.,,44.147975922,24.235712051,,,0,,,0
10639,,Radomiru hc.,,44.15631485,24.161911011,,,0,,,0
10641,,Jianca,,44.164112091,24.131568909,,,0,,,0
10653,,Ţărţăl h.,,44.179237366,24.09236145,,,0,,,0
10677,,Leu Hm.,,44.200405121,24.037347794,,,0,,,0
10706,,Pasaju Coşoveni hc.,,44.24262619,23.930194855,,,0,,,0
10718,,Malu Mare Hm.,,44.255062103,23.89739418,,,0,,,0
10720,,Viaductu Cârcea h.,,44.266651154,23.889659882,,,0,,,0
10732,,Banu Mărăcine Hm.,,44.297115326,23.859865189,,,0,,,0
10744,,Bordei hc.(900),,44.322093964,23.833761215,,,0,,,0
10770,,Craiova,,44.327083588,23.822088242,,,0,,,0
10782,,Craiova Triaj hc.,,44.339485168,23.789783478,,,0,,,0
10809,,Cernele,,44.355419159,23.756170273,,,0,,,0
10811,,Işalniţa hc.,,44.392326355,23.722904205,,,0,,,0
10823,,Işalniţa,,44.405151367,23.715917587,,,0,,,0
10835,,Almăj h.,,44.437572479,23.696317673,,,0,,,0
10847,,Coţofeni Hm.,,44.461612701,23.667020798,,,0,,,0
10859,,Km. 9+820 h.,,44.64408493,23.415502548,,,0,,,0
10861,,Brădeşti h.,,44.490657806,23.617790222,,,0,,,0
10873,,Răcari Hm.,,44.515380859,23.573862076,,,0,,,0
10885,,Termo Turceni h.,,44.663928986,23.39937973,,,0,,,0
10897,,Canton 282 h.,,44.532546997,23.544950485,,,0,,,0
10902,,Filiaşi,,44.552383423,23.510839462,,,0,,,0
10926,,Gura Motrului Hm.,,44.573795319,23.432796478,,,0,,,0
10938,,Turceni,,44.677364349,23.388067245,,,0,,,0
10940,,Butoieşti Hm.,,44.586753845,23.355388641,,,0,,,0
10952,,Ioneşti Gorj h.,,44.619350433,23.438222885,,,0,,,0
10964,,Lunca Banului h.,,44.602493286,23.276309967,,,0,,,0
10976,,Strehaia,,44.610881805,23.220541,,,0,,,0
10988,,Strehaia hc.,,44.615936279,23.193807602,,,0,,,0
11009,,Ciochiuţa Hm.,,44.603431702,23.12584877,,,0,,,0
11023,,Tâmna,,44.591281891,23.038471222,,,0,,,0
11047,,Igiroasa Hm.,,44.589267731,22.974966049,,,0,,,0
11059,,Prunişor Hm.,,44.606258392,22.922367096,,,0,,,0
11073,,Gârniţa Hm.,,44.613796234,22.849559784,,,0,,,0
11085,,Balota,,44.617523193,22.803798676,,,0,,,0
11097,,Valea Albă Hm.,,44.601631165,22.794237137,,,0,,,0
11102,,Ergheviţa h.,,44.617889404,22.776145935,,,0,,,0
11126,,Drobeta Tr.Sev Est Hm.,,44.622787476,22.679105759,,,0,,,0
11138,,Drobeta Tr. Severin Mf.,,44.608409882,22.732143402,,,0,,,0
11140,,Drobeta Tr. Severin,,44.622077942,22.643627167,,,0,,,0
11152,,Dinamica h.,,44.622932434,22.615699768,,,0,,,0
11176,,Gura Văii Hm.,,44.659870148,22.560348511,,,0,,,0
11188,,Jidoştiţa h.,,44.676998138,22.531663895,,,0,,,0
11205,,Vârciorova Hm.,,44.707595825,22.490747452,,,0,,,0
11217,,Iloviţa h.,,44.722290039,22.461481094,,,0,,,0
11229,,Şantier Naval h.,,44.722873688,22.422590256,,,0,,,0
11231,,Orşova,,44.730934143,22.416847229,,,0,,,0
11267,,Valea Cernei Hm.,,44.766952515,22.390962601,,,0,,,0
11281,,Topleţ Hm.,,44.806732178,22.385065079,,,0,,,0
11308,,Băile Herculane,,44.862628937,22.387800217,,,0,,,0
11310,,Mehadia Nouă Hm.,,44.879249573,22.383989334,,,0,,,0
11322,,Mehadia Hm.,,44.897724152,22.368614197,,,0,,,0
11346,,Iablaniţa,,44.941326141,22.327728271,,,0,,,0
11360,,Cruşovăţ,,44.995918274,22.328430176,,,0,,,0
11372,,Cornea h.,,45.034130096,22.320339203,,,0,,,0
11384,,Domaşnea Cornea Hm.,,45.0599823,22.308452606,,,0,,,0
11396,,Luncaviţa h.,,45.086277008,22.289503098,,,0,,,0
11401,,Poarta Hm.,,45.111419678,22.296186447,,,0,,,0
11425,,Teregova Hm.,,45.154888153,22.30524826,,,0,,,0
11449,,Armeniş,,45.19675827,22.30897522,,,0,,,0
11463,,Slatina Timiş,,45.249927521,22.303337097,,,0,,,0
11487,,Vălişoara Hm.,,45.305286407,22.282300949,,,0,,,0
11499,,Petroşniţa h.,,45.334342957,22.269390106,,,0,,,0
11504,,Valea Timişului Hm.,,45.354362488,22.253992081,,,0,,,0
11516,,Balta Sărată,,45.383426666,22.234169006,,,0,,,0
11528,,Caransebeş haltă h.,,45.418254852,22.213439941,,,0,,,0
11554,,Caransebeş,,45.424442291,22.221366882,,,0,,,0
11580,,Tibiscu h.,,45.456310272,22.183681488,,,0,,,0
11592,,Zăgujeni Hm.,,45.48065567,22.167720795,,,0,,,0
11619,,Căvăran,,45.548240662,22.139135361,,,0,,,0
11621,,Sacu h.,,45.573558807,22.111106873,,,0,,,0
11645,,Jena Hm.,,45.590499878,22.081382751,,,0,,,0
11657,,Găvojdia,,45.622234344,22.024663925,,,0,,,0
11671,,Tapia Hm.,,45.650299072,21.967205048,,,0,,,0
11695,,Lugoj,,45.679668427,21.89740181,,,0,,,0
11700,,Lugoj Nord h.,,45.710399628,21.886417389,,,0,,,0
11724,,Jabăr Hm.,,45.726631165,21.826652527,,,0,,,0
11748,,Belinţ Hm.,,45.744392395,21.762647629,,,0,,,0
11750,,Chizătău Hm.,,45.75019455,21.711526871,,,0,,,0
11774,,Topolovăţ,,45.768444061,21.62922287,,,0,,,0
11786,,Şuştra h.,,45.776405334,21.582111359,,,0,,,0
11803,,Recaş,,45.793682098,21.489654541,,,0,,,0
11815,,Izvin h.,,45.794254303,21.462717056,,,0,,,0
11839,,Remetea Mare,,45.786346436,21.363695145,,,0,,,0
11841,,Ghiroda h.,,45.778553009,21.307260513,,,0,,,0
11877,,Timişoara Est,,45.769245148,21.249965668,,,0,,,0
11906,,Timişoara Nord,,45.750228882,21.203317642,,,0,,,0
11956,,Săcălaz h.,,45.767726898,21.105163574,,,0,,,0
11970,,Beregsău hcv.,,45.774230957,21.00998497,,,0,,,0
11994,,Cărpiniş,,45.783664703,20.907871246,,,0,,,0
12015,,Clarii Vii h.,,45.792739868,20.7989254,,,0,,,0
12039,,Jimbolia,,45.800273895,20.718025208,,,0,,,0
123,,Vidin Patnicheska,,43.974563599,22.851949692,,,0,,,0
12326,,Sabareni,,44.531650543,25.934741974,,,0,,,0
12340,,Ciocăneşti Hm.,,44.580615997,25.851226807,,,0,,,0
12364,,Bâldana h.,,44.620758057,25.782701492,,,0,,,0
12388,,Ghergani Hm.,,44.642642975,25.71805191,,,0,,,0
12405,,Conţeşti h.,,44.656917572,25.652862549,,,0,,,0
12417,,Boteni h.,,44.660209656,25.626581192,,,0,,,0
12431,,Titu,,44.661991119,25.570119858,,,0,,,0
12443,,Dâmbovicioara h.,,44.678733826,25.560066223,,,0,,,0
12455,,Fusea Hm.,,44.673938751,25.50308609,,,0,,,0
12479,,Mătăsaru Hm.,,44.686763763,25.442567825,,,0,,,0
12493,,Cojocaru h.,,44.699977875,25.378225327,,,0,,,0
12508,,Găeşti Sud h.,,44.705165863,25.352350235,,,0,,,0
12510,,Găeşti,,44.713935852,25.304239273,,,0,,,0
12534,,Pătroaia Hm.,,44.743995667,25.208929062,,,0,,,0
12558,,Leordeni Argeş,,44.783870697,25.124267578,,,0,,,0
12572,,Călineşti Hm.,,44.810417175,25.062185287,,,0,,,0
12596,,Goleşti,,44.836898804,24.965335846,,,0,,,0
12613,,Piteşti,,44.846427917,24.889944077,,,0,,,0
12637,,Bradu de Sus,,44.814083099,24.915344238,,,0,,,0
12687,,Pârvu Hm.,,44.771308899,24.905704498,,,0,,,0
12699,,Pârvu h.,,44.733898163,24.89682579,,,0,,,0
12704,,Suseni h.,,44.704322815,24.89238739,,,0,,,0
12728,,Costeşti,,44.668575287,24.877597809,,,0,,,0
12742,,Fâlfani Hm.,,44.609378815,24.823951721,,,0,,,0
12766,,Stolnici Hm.,,44.549301147,24.781255722,,,0,,,0
12778,,Hârseşti Hm.,,44.517166138,24.756195068,,,0,,,0
12792,,Corbu,,44.495830536,24.709171295,,,0,,,0
12819,,Sineşti Hm.,,44.465862274,24.672737122,,,0,,,0
12833,,Potcoava,,44.471317291,24.603452682,,,0,,,0
12857,,Bâlteni Olt Hm.,,44.454521179,24.521619797,,,0,,,0
12871,,Recea Hm.,,44.438030243,24.45772934,,,0,,,0
12895,,Slatina,,44.423721313,24.387235641,,,0,,,0
12912,,Milcov Hm.,,44.387378693,24.388536453,,,0,,,0
12924,,Slătioara Hm.,,44.382423401,24.333734512,,,0,,,0
12936,,Criva h.,,44.372760773,24.298988342,,,0,,,0
12948,,Piatra Olt,,44.368171692,24.254953384,,,0,,,0
12974,,Brăneţ h.,,44.333850861,24.206569672,,,0,,,0
12986,,Canton 217 h.,,44.335445404,24.141166687,,,0,,,0
12998,,Balş,,44.340099335,24.116054535,,,0,,,0
13007,,Spineni h.,,44.353858948,24.075403214,,,0,,,0
13021,,Robăneşti Hm.,,44.344299316,24.008747101,,,0,,,0
