service_id,date,exception_type
9,20160202,2
9,20160203,2
9,20160204,2
9,20160205,2
9,20160206,2
9,20160207,2
9,20160208,2
9,20160209,2
9,20160210,2
9,20160211,2
9,20160212,2
9,20160213,2
9,20160214,2
9,20160215,2
9,20160216,2
9,20160217,2
9,20160218,2
9,20160219,2
9,20160220,2
9,20160221,2
9,20160222,2
9,20160223,2
9,20160224,2
9,20160225,2
9,20160226,2
9,20160227,2
9,20160228,2
9,20160229,2
9,20160301,2
9,20160302,2
9,20160303,2
9,20160304,2
9,20160305,2
9,20160306,2
9,20160307,2
9,20160308,2
9,20160309,2
9,20160310,2
9,20160311,2
9,20160312,2
9,20160313,2
9,20160314,2
9,20160315,2
9,20160316,2
9,20160317,2
9,20160318,2
9,20160319,2
9,20160320,2
9,20160321,2
9,20160322,2
9,20160323,2
9,20160324,2
9,20160325,2
9,20160326,2
9,20160327,2
9,20160328,2
9,20160329,2
9,20160330,2
9,20160331,2
9,20160401,2
9,20160402,2
9,20160403,2
9,20160404,2
9,20160405,2
9,20160406,2
9,20160407,2
9,20160408,2
9,20160409,2
9,20160410,2
9,20160411,2
9,20160412,2
9,20160413,2
9,20160414,2
9,20160415,2
9,20160416,2
9,20160417,2
9,20160418,2
9,20160419,2
9,20160420,2
9,20160421,2
9,20160422,2
9,20160423,2
9,20160424,2
9,20160425,2
9,20160426,2
9,20160427,2
9,20160428,2
9,20160429,2
9,20160430,2
9,20160501,2
9,20160502,2
9,20160503,2
9,20160504,2
9,20160505,2
9,20160506,2
9,20160507,2
9,20160508,2
9,20160509,2
9,20160510,2
9,20160511,2
9,20160512,2
9,20160513,2
9,20160514,2
9,20160515,2
9,20160516,2
9,20160517,2
9,20160518,2
9,20160519,2
9,20160520,2
9,20160521,2
9,20160522,2
9,20160523,2
9,20160524,2
9,20160525,2
9,20160526,2
9,20160527,2
9,20160528,2
9,20160529,2
9,20160530,2
9,20160531,2
9,20160601,2
9,20160602,2
9,20160603,2
9,20160604,2
9,20160605,2
9,20160606,2
9,20160607,2
9,20160608,2
9,20160609,2
9,20160610,2
9,20160611,2
9,20160612,2
9,20160613,2
9,20160614,2
9,20160615,2
9,20160616,2
9,20160905,2
9,20160906,2
9,20160907,2
9,20160908,2
9,20160909,2
9,20160910,2
9,20160911,2
9,20160912,2
9,20160913,2
9,20160914,2
9,20160915,2
9,20160916,2
9,20160917,2
9,20160918,2
9,20160919,2
9,20160920,2
9,20160921,2
9,20160922,2
9,20160923,2
9,20160924,2
9,20160925,2
9,20160926,2
9,20160927,2
9,20160928,2
9,20160929,2
9,20160930,2
9,20161001,2
9,20161002,2
9,20161003,2
9,20161004,2
9,20161005,2
9,20161006,2
9,20161007,2
9,20161008,2
9,20161009,2
9,20161010,2
9,20161011,2
9,20161012,2
9,20161013,2
9,20161014,2
9,20161015,2
9,20161016,2
9,20161017,2
9,20161018,2
9,20161019,2
9,20161020,2
9,20161021,2
9,20161022,2
9,20161023,2
9,20161024,2
9,20161025,2
9,20161026,2
9,20161027,2
9,20161028,2
9,20161029,2
9,20161030,2
9,20161031,2
9,20161101,2
9,20161102,2
9,20161103,2
9,20161104,2
9,20161105,2
9,20161106,2
9,20161107,2
9,20161108,2
9,20161109,2
9,20161110,2
9,20161111,2
9,20161112,2
9,20161113,2
9,20161114,2
9,20161115,2
9,20161116,2
9,20161117,2
9,20161118,2
9,20161119,2
9,20161120,2
9,20161121,2
9,20161122,2
9,20161123,2
9,20161124,2
9,20161125,2
9,20161126,2
9,20161127,2
9,20161128,2
9,20161129,2
9,20161130,2
9,20161201,2
9,20161202,2
9,20161203,2
9,20161204,2
9,20161205,2
9,20161206,2
9,20161207,2
9,20161208,2
9,20161209,2
9,20161210,2
10,20151221,2
10,20151222,2
10,20151223,2
10,20151224,2
10,20151225,2
10,20151228,2
10,20151229,2
10,20151230,2
10,20151231,2
10,20160101,2
10,20160104,2
10,20160105,2
10,20160106,2
10,20160107,2
10,20160108,2
10,20160208,2
10,20160209,2
10,20160210,2
10,20160211,2
10,20160212,2
10,20160425,2
10,20160426,2
10,20160427,2
10,20160428,2
10,20160429,2
10,20160502,2
10,20160503,2
10,20160627,2
10,20160628,2
10,20160629,2
10,20160630,2
10,20160701,2
10,20160704,2
10,20160705,2
10,20160706,2
10,20160707,2
10,20160708,2
10,20160711,2
10,20160712,2
10,20160713,2
10,20160714,2
10,20160715,2
10,20160718,2
10,20160719,2
10,20160720,2
10,20160721,2
10,20160722,2
10,20160725,2
10,20160726,2
10,20160727,2
10,20160728,2
10,20160729,2
10,20160801,2
10,20160802,2
10,20160803,2
10,20160804,2
10,20160805,2
10,20160808,2
10,20160809,2
10,20160810,2
10,20160811,2
10,20160812,2
10,20160815,2
10,20160816,2
10,20160817,2
10,20160818,2
10,20160819,2
10,20160822,2
10,20160823,2
10,20160824,2
10,20160825,2
10,20160826,2
10,20160829,2
10,20160830,2
10,20160831,2
10,20160901,2
10,20160902,2
10,20160905,2
10,20160906,2
10,20160907,2
10,20160908,2
10,20160909,2
16,20151213,2
16,20151220,2
16,20151227,2
17,20151225,2
17,20160101,2
17,20160502,2
17,20160620,2
17,20160815,2
17,20161130,2
17,20161201,2
18,20151221,2
18,20151222,2
18,20151223,2
18,20151224,2
18,20151225,2
18,20151228,2
18,20151229,2
18,20151230,2
18,20151231,2
18,20160101,2
18,20160104,2
18,20160105,2
18,20160106,2
18,20160107,2
18,20160108,2
18,20160208,2
18,20160209,2
18,20160210,2
18,20160211,2
18,20160212,2
18,20160425,2
18,20160426,2
18,20160427,2
18,20160428,2
18,20160429,2
18,20160502,2
18,20160503,2
