service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
132,1,1,1,1,1,0,0,20171212,20181208
133,1,1,1,1,1,0,0,20171212,20181208
134,1,1,1,1,1,1,0,20171212,20181208
135,1,1,1,1,1,0,1,20171212,20181208
136,1,1,1,1,1,0,1,20171212,20181208
137,1,1,1,1,1,0,0,20171212,20181208
138,1,1,1,1,1,0,0,20171212,20181208
139,1,1,1,1,1,0,0,20171212,20181208
140,1,1,1,1,1,1,1,20171212,20181208
141,1,1,1,1,1,1,1,20171212,20181208
142,1,1,1,1,1,1,1,20171212,20181208
143,1,1,1,1,1,1,1,20171212,20181208
144,1,1,1,1,1,1,1,20171212,20181208
145,1,1,1,1,1,0,0,20171212,20181208
146,1,1,1,1,1,1,1,20171212,20181208
147,1,1,1,1,1,1,1,20171212,20181208
148,1,1,1,1,1,1,1,20171212,20181208
149,1,1,1,1,1,0,0,20171212,20181208
150,1,1,1,1,1,0,0,20171212,20181208
151,1,1,1,1,1,0,0,20171212,20181208
152,1,1,1,1,1,0,0,20171212,20181208
153,1,1,1,1,1,1,1,20171212,20181208
154,1,1,1,1,1,0,0,20171212,20181208
155,1,1,1,1,1,0,0,20171212,20181208
156,1,1,1,1,1,0,1,20171212,20181208
157,1,1,1,1,1,1,1,20171212,20181208
158,1,1,1,1,1,0,0,20171212,20181208
159,0,0,0,0,0,0,1,20171212,20181208
160,1,1,1,1,0,1,1,20171212,20181208
161,1,1,1,1,1,1,1,20171212,20181208
162,1,1,1,1,1,0,0,20171212,20181208
163,1,1,1,1,1,1,1,20171212,20181208
164,0,0,0,0,0,0,0,20171212,20181208
165,1,1,1,1,1,0,0,20171212,20181208
166,1,1,1,1,1,1,1,20171212,20181208
167,1,1,1,1,1,0,0,20171212,20181208
168,1,1,1,1,1,0,1,20171212,20181208
169,1,1,1,1,1,0,0,20171212,20181208
170,1,1,1,1,1,1,1,20171212,20181208
171,1,1,1,1,1,1,1,20171212,20181208
172,1,1,1,1,1,0,0,20171212,20181208
173,1,1,1,1,1,0,0,20171212,20181208
174,1,1,1,1,1,1,1,20171212,20181208
175,1,1,1,1,1,0,1,20171212,20181208
176,1,1,1,1,1,1,1,20171212,20181208
177,1,1,1,1,1,1,1,20171212,20181208
178,1,1,1,1,1,1,1,20171212,20181208
179,1,1,1,1,1,1,1,20171212,20181208
180,1,1,1,1,1,1,1,20171212,20181208
181,1,1,1,1,1,1,1,20171212,20181208
182,1,1,1,1,1,1,1,20171212,20181208
183,1,0,0,0,0,1,0,20171212,20181208
184,1,1,1,1,1,1,1,20171212,20181208
185,1,1,1,1,1,1,1,20171212,20181208
186,0,0,0,0,0,1,0,20171212,20181208
187,1,1,1,1,1,1,1,20171212,20181208
188,1,1,1,1,1,1,1,20171212,20181208
189,0,0,0,0,0,1,0,20171212,20181208
190,1,1,1,1,1,1,1,20171212,20181208
191,1,1,1,1,1,1,1,20171212,20181208
192,0,0,0,0,0,1,1,20171212,20181208
193,1,1,1,1,1,1,1,20171212,20181208
194,1,1,1,1,1,1,1,20171212,20181208
195,1,1,1,1,1,1,1,20171212,20181208
196,1,1,1,1,1,1,1,20171212,20181208
197,1,1,1,1,1,1,0,20171212,20181208
